Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label
18:34.4,0.22204,2.98412,0.43432,3.71124,9.9918,3.468704,1
18:35.4,9.9918,0.95404,1.00772,1.21024,2.04716,3.042192,1
18:36.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
18:37.4,0.38308,1.43472,0.32452,3.01584,9.9918,3.029992,1
18:38.3,9.9918,3.07928,9.9918,3.6722,9.9918,7.345376,1
18:39.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
18:40.4,1.1834,0.68076,0.2806,2.15208,9.9918,2.857728,1
18:41.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
18:42.4,0.27328,9.9918,0.89792,9.9918,9.9918,6.22932,1
18:43.4,1.65188,0.81984,0.44408,0.81984,1.59088,1.065304,1
18:44.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
18:45.4,0.11712,2.6718,0.39284,4.62136,9.9918,3.558984,1
18:46.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
18:47.4,0.33672,5.89992,0.85644,9.9918,9.9918,5.415336,1
18:48.4,4.44812,0.76372,0.52948,0.71248,1.57868,1.606496,1
18:49.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
18:50.4,0.10736,2.1472,0.46116,2.71328,9.9918,3.08416,1
18:51.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
18:52.4,0.16836,3.53068,0.50752,9.9918,9.9918,4.838032,1
18:53.4,9.9918,0.79788,2.43268,0.9394,1.87392,3.207136,1
18:54.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
18:55.4,0.11712,7.27364,0.89792,1.2932,9.9918,3.914736,1
18:56.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
18:57.4,0.27084,3.55264,0.976,1.63724,4.80436,2.248216,1
18:58.4,2.33508,0.65392,0.39528,1.0126,1.82024,1.243424,1
18:59.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:00.4,1.14924,0.66124,0.44408,0.79544,1.71776,0.953552,1
19:01.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:02.4,0.2562,6.91008,0.99796,9.9918,9.9918,5.629568,1
19:03.4,0.74176,0.74176,0.45384,0.90036,1.65188,0.89792,1
19:04.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:05.4,0.1464,1.04188,0.47092,1.83488,9.9918,2.697176,1
19:06.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:07.4,0.25132,5.04836,0.94184,9.9918,9.9918,5.245024,1
19:08.4,9.9918,0.54168,2.73768,0.66124,1.56404,3.099288,1
19:09.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:10.4,0.30256,0.92964,0.31232,9.9918,9.9918,4.305624,1
19:11.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:12.4,0.16104,1.94956,0.80032,1.7202,5.11424,1.949072,1
19:13.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:14.4,0.74176,9.9918,1.78608,9.9918,9.9918,6.500648,1
19:15.4,9.9918,0.73932,1.4274,0.78324,1.0858,2.805512,1
19:16.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:17.4,0.12688,1.57624,0.27328,9.9918,9.9918,4.392,1
19:18.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:19.4,0.07808,2.16428,0.42944,6.7954,9.9918,3.8918,1
19:20.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:21.4,0.35136,0.91988,0.42944,1.67872,6.4294,1.96176,1
19:22.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:23.4,0.16348,1.45424,0.57096,2.379,9.9918,2.911896,1
19:24.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:25.4,0.09516,1.23708,0.50752,1.83,9.9918,2.732312,1
19:26.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:27.4,0.08052,1.30052,0.44652,2.86212,9.9918,2.936296,1
19:28.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:29.4,0.11468,1.2932,0.54412,1.70556,9.9918,2.729872,1
19:30.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:31.4,0.24644,0.6588,0.43432,1.61284,9.9918,2.58884,1
19:32.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
19:33.4,0.22448,1.0126,0.3416,9.37692,9.9918,4.18948,1
19:34.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
