Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label,,,,,,,,5.1080912
15:19.3,0.0244,1.44448,0.96136,3.1964,9.9918,3.123688,3,,,,,,,,6.0971696
15:20.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,4.5690464
15:21.3,0.11712,0.94672,1.01748,1.5738,3.10124,1.351272,3,,,,,,,,5.930664
15:22.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,4.4209872
15:23.3,0.25132,0.88328,1.3786,1.03944,1.85684,1.081896,3,,,,,,,,5.3020224
15:24.3,0.3782,9.9918,9.9918,9.9918,9.9918,8.06908,3,,,,,,,,4.7888416
15:25.3,0.53436,1.83244,6.70268,1.24196,1.44448,2.351184,3,,,,,,,,4.5827104
15:26.3,0.8296,9.9918,9.9918,9.9918,9.9918,8.15936,3,,,,,,,,4.9491984
15:27.3,0.2196,2.22528,5.59736,1.51768,2.65716,2.443416,3,,,,,,,,4.7829856
15:28.3,0.08296,5.18012,2.18868,9.9918,9.9918,5.487072,3,,,,,,,,5.6839312
15:29.3,9.9918,2.45952,9.9918,2.96704,2.10572,5.503176,3,,,,,,,,4.859992
15:30.3,0.07076,1.21268,1.44448,1.53476,2.33996,1.320528,3,,,,,,,,6.2177056
15:31.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,6.2177056
15:32.3,0.04392,2.3668,2.00812,1.88612,1.7568,1.612352,3,,,,,,,,6.4804448
15:33.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,6.4804448
15:34.3,0.15616,1.3664,2.49612,1.36396,1.53476,1.38348,3,,,,,,,,6.7162464
15:35.3,0.57828,9.9918,9.9918,9.9918,9.9918,8.109096,3,,,,,,,,7.0927872
15:36.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,7.0927872
15:37.3,0.04148,1.403,1.10776,2.0862,9.9918,2.926048,3,,,,,,,,7.1089888
15:38.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,7.1089888
15:39.3,0.11712,0.73932,0.8296,1.1346,9.9918,2.562488,3,,,,,,,,6.9396528
15:40.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,6.5634048
15:41.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,6.3062288
15:42.3,0.02684,1.79096,1.33224,1.89344,9.9918,3.007056,3,,,,,,,,6.2841712
15:43.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,6.2841712
15:44.3,0.0488,0.81984,0.92476,1.67872,5.10692,1.715808,3,,,,,,,,6.105856
15:45.3,0.5856,9.9918,9.9918,9.9918,9.9918,8.11056,3,,,,,,,,6.482104
15:46.3,9.9918,9.9918,9.9918,9.9918,3.5624,8.70592,3,,,,,,,,5.1185344
15:47.4,0.03904,1.1956,1.16632,2.09108,9.9918,2.896768,3,,,,,,,,6.5375408
15:48.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,4.7124208
15:49.3,0.24644,0.6954,1.55184,0.61732,1.01016,0.824232,3,,,,,,,,6.5459344
15:50.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,4.701392
15:51.3,0.03904,1.28344,1.46888,1.6836,4.9654,1.888072,3,,,,,,,,6.3221376
15:52.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,4.749216
15:53.3,0.3172,0.61976,0.46116,1.57868,1.3542,0.8662,3,,,,,,,,6.2105808
15:54.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,4.8993248
15:55.3,0.37576,0.41724,0.43676,1.11508,1.5006,0.769088,3,,,,,,,,6.7438672
15:56.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,5.6255664
15:57.3,0.30988,0.48556,0.65392,1.41276,7.77384,2.127192,3,,,,,,,,7.198488
15:58.4,0.89792,9.9918,9.9918,9.9918,9.9918,8.173024,3,,,,,,,,6.199552
15:59.3,0.00244,1.39812,1.05896,4.72628,9.9918,3.43552,3,,,,,,,,7.510808
16:00.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,6.0923872
16:01.3,0.04392,1.47132,0.50264,9.9918,9.9918,4.400296,3,,,,,,,,6.8230208
16:02.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,6.8230208
16:03.4,0.06344,0.97112,0.56364,4.30172,9.9918,3.178344,3,,,,,,,,7.1274352
16:04.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,7.1274352
16:05.3,0.05368,0.8418,0.671,2.9402,9.9918,2.899696,3,,,,,,,,6.8257536
16:06.4,0.30012,9.9918,9.9918,9.9918,9.9918,8.053464,3,,,,,,,,6.5395904
16:07.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,4.7986992
16:08.4,0.00976,2.51564,0.99308,9.9918,9.9918,4.700416,3,,,,,,,,4.8656528
16:09.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,4.8656528
16:10.3,0.11468,0.63196,1.14924,0.92476,4.1358,1.391288,3,,,,,,,,5.495856
16:11.4,0.13664,9.9918,3.0012,9.9918,9.9918,6.622648,3,,,,,,,,5.7938288
16:12.4,0.46604,0.40748,0.79544,0.85888,3.90888,1.287344,3,,,,,,,,5.8009536
16:13.3,0.122,3.02316,2.04716,9.9918,9.9918,5.035184,3,,,,,,,,6.7922768
16:14.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,5.1214624
16:15.4,0.01708,1.71776,0.99308,9.9918,9.9918,4.542304,3,,,,,,,,5.266252
16:16.4,9.9918,9.9918,9.9918,8.11544,2.47172,8.112512,3,,,,,,,,4.317498667
16:17.4,0.07564,1.0492,1.28832,1.24684,2.95484,1.322968,3,,,,,,,,5.814764
16:18.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,,,,,,,1.637728
16:19.4,0.05612,1.22244,1.28588,1.67384,3.95036,1.637728,3,,,,,,,,1.637728
